iter	Passed	Remaining
0	199	198955
1	225	112470
2	247	82386
3	274	68260
4	302	60286
5	324	53755
6	353	50189
7	378	46878
8	394	43438
9	414	41010
10	432	38877
11	454	37419
12	476	36171
13	495	34901
14	518	34036
15	540	33264
16	558	32287
17	578	31534
18	597	30860
19	617	30244
20	634	29592
21	652	29014
22	669	28454
23	690	28096
24	707	27602
25	729	27309
26	746	26912
27	765	26571
28	782	26205
29	801	25929
30	823	25752
31	840	25426
32	860	25221
33	879	24974
34	902	24885
35	920	24639
36	936	24378
37	957	24233
38	977	24091
39	997	23935
40	1016	23786
41	1038	23677
42	1061	23624
43	1079	23453
44	1099	23334
45	1119	23216
46	1139	23097
47	1160	23015
48	1179	22888
49	1199	22795
50	1220	22712
51	1239	22597
52	1257	22472
53	1279	22408
54	1298	22308
55	1318	22218
56	1334	22080
57	1354	22001
58	1373	21905
59	1390	21790
60	1409	21702
61	1430	21638
62	1449	21562
63	1469	21492
64	1489	21432
65	1509	21357
66	1526	21262
67	1545	21187
68	1567	21145
69	1584	21054
70	1603	20982
71	1624	20932
72	1644	20880
73	1665	20837
74	1688	20823
75	1707	20760
76	1725	20688
77	1744	20618
78	1762	20547
79	1783	20506
80	1803	20459
81	1822	20406
82	1842	20351
83	1861	20304
84	1883	20277
85	1903	20233
86	1923	20185
87	1944	20153
88	1963	20100
89	1983	20050
90	2000	19986
91	2023	19972
92	2043	19927
93	2062	19877
94	2080	19817
95	2099	19770
96	2121	19747
97	2142	19717
98	2168	19733
99	2189	19702
100	2205	19631
101	2228	19622
102	2247	19573
103	2268	19543
104	2289	19512
105	2308	19469
106	2326	19417
107	2343	19357
108	2363	19320
109	2379	19253
110	2404	19259
111	2429	19263
112	2451	19245
113	2471	19209
114	2499	19234
115	2532	19300
116	2553	19272
117	2577	19263
118	2593	19201
119	2609	19139
120	2630	19108
121	2648	19061
122	2666	19015
123	2686	18978
124	2706	18948
125	2726	18910
126	2745	18871
127	2765	18838
128	2786	18811
129	2807	18785
130	2825	18741
131	2843	18696
132	2873	18733
133	2902	18757
134	2927	18756
135	2945	18713
136	2965	18682
137	2992	18695
138	3018	18699
139	3042	18688
140	3068	18694
141	3094	18700
142	3114	18666
143	3135	18641
144	3156	18611
145	3176	18579
146	3201	18577
147	3226	18575
148	3250	18564
149	3279	18582
150	3302	18571
151	3331	18586
152	3360	18602
153	3387	18607
154	3410	18592
155	3430	18562
156	3465	18605
157	3487	18584
158	3505	18544
159	3526	18512
160	3545	18478
161	3564	18437
162	3583	18400
163	3602	18365
164	3629	18369
165	3650	18339
166	3670	18308
167	3688	18266
168	3705	18221
169	3724	18186
170	3745	18159
171	3768	18139
172	3794	18141
173	3815	18114
174	3836	18084
175	3854	18045
176	3871	18001
177	3891	17970
178	3910	17937
179	3929	17900
180	3949	17869
181	3969	17838
182	3993	17826
183	4010	17786
184	4027	17743
185	4045	17705
186	4066	17677
187	4085	17648
188	4107	17623
189	4127	17597
190	4145	17558
191	4162	17517
192	4181	17482
193	4200	17452
194	4218	17413
195	4236	17378
196	4257	17354
197	4279	17335
198	4299	17304
199	4318	17272
200	4336	17239
201	4357	17213
202	4375	17177
203	4396	17153
204	4417	17132
205	4436	17099
206	4454	17064
207	4471	17027
208	4492	17004
209	4511	16972
210	4528	16931
211	4546	16900
212	4567	16877
213	4588	16853
214	4607	16822
215	4625	16790
216	4647	16768
217	4665	16736
218	4685	16708
219	4703	16676
220	4722	16646
221	4742	16621
222	4760	16587
223	4780	16559
224	4799	16530
225	4819	16506
226	4840	16483
227	4858	16451
228	4877	16420
229	4895	16388
230	4912	16354
231	4934	16333
232	4953	16307
233	4974	16282
234	4992	16253
235	5013	16229
236	5033	16205
237	5052	16177
238	5072	16150
239	5091	16122
240	5109	16090
241	5128	16062
242	5150	16044
243	5164	16002
244	5186	15984
245	5205	15953
246	5223	15925
247	5245	15906
248	5266	15883
249	5285	15857
250	5306	15836
251	5328	15816
252	5347	15790
253	5365	15757
254	5385	15735
255	5404	15705
256	5425	15684
257	5443	15655
258	5459	15620
259	5484	15609
260	5503	15581
261	5525	15564
262	5547	15544
263	5564	15512
264	5584	15490
265	5606	15470
266	5626	15445
267	5642	15411
